group_id,group_name,company,status,group_type,music_show_awards,end_year_awards,physical_sales,organic_youtube_views,debut_date,sun_sign
1,BIGBANG,YG Entertainment Inc.,Inactive,Boy Group,84,46,3514210,4589887632,2006-08-19,Leo
2,Busker Busker,Chungchun Music,Inactive,Boy Group,10,10,344002,44241494,2012-04-02,Aries
3,NewJeans,ADOR,Inactive,Girl Group,35,32,8278782,2296351136,2022-07-22,Cancer
4,Sistar,Starship Entertainment,Inactive,Girl Group,48,25,137519,957775756,2010-06-03,Gemini
5,Miss A,JYP Entertainment Corp.,Inactive,Girl Group,16,12,111748,502828620,2010-06-30,Cancer
6,GFriend,Source Music,Inactive,Girl Group,71,13,999591,1145370316,2015-01-15,Capricorn
7,Wonder Girls,JYP Entertainment Corp.,Inactive,Girl Group,32,17,309310,586428007,2007-02-13,Aquarius
8,I.O.I,YMC Entertainment,Inactive,Girl Group,9,3,276039,297420417,2016-05-16,Taurus
9,Wanna One,Swing Entertainment,Inactive,Boy Group,49,21,3687191,578452979,2017-08-07,Leo
10,IZ*ONE,Pledis Entertainment,Inactive,Girl Group,26,7,2101206,1051316370,2018-10-29,Scorpio
11,NU'EST,Pledis Entertainment,Inactive,Boy Group,17,5,1176812,439100514,2012-03-15,Pisces
12,Beast,Cube Entertainment,Inactive,Boy Group,47,28,1087745,657013261,2009-10-15,Libra
13,B.A.P,TS entertainment,Inactive,Boy Group,8,4,911467,301681895,2012-01-26,Aquarius
14,WJSN,Starship Ent. + Yue Hua Ent.,Inactive,Girl Group,9,1,850460,241820625,2016-02-25,Pisces
15,VICTON,IST Entertainment,Inactive,Boy Group,3,0,750171,180700492,2016-11-09,Scorpio
16,LOONA,Blockberry Creative,Inactive,Girl Group,4,1,698360,365528056,2018-08-20,Leo
17,PENTAGON,Cube Entertainment,Inactive,Boy Group,2,0,650777,733366148,2016-10-10,Libra
18,f(x),SM Entertainment Co. Ltd.,Inactive,Girl Group,33,10,548777,560004408,2009-08-03,Virgo
19,Block B,Seven Seasons,Inactive,Boy Group,8,1,418220,353939253,2011-04-14,Aries
20,SS501,DSP Media,Inactive,Boy Group,12,5,398819,225868285,2005-06-08,Gemini
21,Weeekly,IST Entertainment,Inactive,Girl Group,0,1,314973,318429943,2020-06-30,Cancer
22,AOA,FNC Entertainment,Inactive,Girl Group,10,3,223475,872310873,2012-07-29,Leo
23,4Minute,Cube Entertainment,Inactive,Girl Group,23,7,205088,818287184,2009-06-15,Gemini
24,Girl's Day,Dream T Entertainment Co.,Inactive,Girl Group,12,4,127226,553105564,2010-07-07,Cancer
25,Trouble Maker,Cube Entertainment,Inactive,Co-ed Group,12,2,66974,248786656,2011-12-01,Sagittarius
26,Momoland,MLD Entertainment,Inactive,Girl Group,11,4,66422,1881942223,2016-11-10,Scorpio
27,CLC,Cube Entertainment,Inactive,Girl Group,2,0,65774,420286429,2015-03-19,Pisces
28,Crayon Pop,Chrome Entertainment,Inactive,Girl Group,2,3,36845,188584801,2012-07-18,Cancer
29,H.O.T,SM Entertainment Co. Ltd.,Inactive,Boy Group,0,0,0,16197860,1996-09-07,Virgo
